Bin_ID,Bin_Type,Electoral_Area,Irish_X,Irish_Y
WMS3064,Class B,PEMBROKE EAST E,-6.220769,53.327857
WMS2280,Class B,BEAUMONT B,-6.220823,53.386897
WMS0962,Class A,RATHMINES WEST A,-6.264565,53.328969
WMS4544,Cast Iron,DRUMFINN,-6.351997,53.342213
WMS3387,Class B,KILMAINHAM C,-6.314496,53.339667
WMS2359,Class B,PRIORSWOOD D,-6.191935,53.39703
WMS2562,Class B,DRUMCONDRA SOUTH A,-6.247508,53.374864
WMS3106,Class B,PEMBROKE EAST D,-6.221115,53.31234
WMS4081,Cast Iron,CLONTARF EAST A,-6.175342,53.380438
WMS1640,Dog Bin,NORTH DOCK B,-6.235397,53.358544
WMS4086,Cast Iron,CLONTARF EAST A,-6.176316,53.380353
WMS0645,Class A,ROYAL EXCHANGE A,-6.262054,53.343738
WMS4290,Cast Iron,MOUNTJOY A,-6.253623,53.351768
WMS2518,Class B,CLONTARF WEST A,-6.204974,53.378972
WMS3629,Class B,BALLYBOUGH A,-6.243043,53.36124
WMS4476,Cast Iron,USHERS B,-6.284075,53.343508
WMS3430,Class B,DRUMFINN,-6.359422,53.345123
WMS3817,Class B,ARRAN QUAY A,-6.27688,53.360185
WMS3561,Class B,CABRA EAST C,-6.286249,53.361033
WMS0943,Class A,RATHMINES WEST B,-6.264283,53.329387
WMS0901,Bigbelly Bin,PEMBROKE EAST C,-6.206132,53.322451
WMS2801,Class B,CABRA WEST C,-6.307419,53.364748
WMS3912,Class B,PRIORSWOOD D,-6.196388,53.397899
WMS0046,Class A,CLONTARF EAST C,-6.208475,53.359869
WMS4263,Cast Iron,MOUNTJOY A,-6.247573,53.354078
WMS3885,Class B,WHITEHALL D,-6.23854,53.387811
WMS1735,Bigbelly Bin,SOUTH DOCK,-6.236817,53.339385
WMS4534,Cast Iron,DRUMFINN,-6.353301,53.342398
WMS0984,Class A,USHERS D,-6.296789,53.335848
WMS4225,Cast Iron,ROTUNDA A,-6.26064,53.355668
WMS1458,Class A,CABRA WEST D,-6.302462,53.361982
WMS4454,Cast Iron,SAINT KEVIN'S,-6.261034,53.331194
WMS2132,Class B,BALLYGALL C,-6.267768,53.386087
WMS3367,Class B,KIMMAGE A,-6.313057,53.319488
WMS2671,Class B,CLONTARF EAST D,-6.210894,53.360365
WMS3407,Class B,INCHICORE A,-6.324627,53.337222
WMS0718,Class A,SAINT KEVIN'S,-6.265389,53.334966
WMS2349,Class B,KILMORE C,-6.209778,53.39355
WMS2575,Class B,WHITEHALL D,-6.242369,53.375858
WMS4650,Cast Iron,NORTH CITY,-6.258848,53.350603
WMS3498,Class B,BALLYMUN F,-6.285526,53.393124
WMS1372,Bigbelly Bin,GRANGE D,-6.168258,53.389043
WMS4383,Cast Iron,MANSION HOUSE B,-6.25173,53.339856
WMS1621,Class A,NORTH CITY,-6.260841,53.349663
WMS2091,Class B,BALLYGALL C,-6.271502,53.386195
WMS0898,Bigbelly Bin,PEMBROKE EAST C,-6.206532,53.324873
WMS2455,Class B,AYRFIELD,-6.185773,53.395728
WMS3415,Class B,CHAPELIZOD,-6.352928,53.350238
WMS0382,Class A,NORTH CITY,-6.263991,53.348475
WMS4440,Cast Iron,PEMBROKE EAST B,-6.215341,53.332321
WMS4257,Cast Iron,MOUNTJOY A,-6.253665,53.349937
WMS1347,Class A,RATHMINES EAST D,-6.254885,53.325131
WMS2130,Class B,BALLYGALL C,-6.268559,53.386128
WMS3373,Class B,WALKINSTOWN A,-6.334998,53.321261
WMS0235,Class A,NORTH CITY,-6.261304,53.351658
WMS4572,Cast Iron,KILMAINHAM C,-6.316463,53.339347
WMS2201,Class B,WHITEHALL B,-6.258404,53.387658
WMS2852,Class B,BALLYBOUGH B,-6.254306,53.358417
WMS4418,Cast Iron,MANSION HOUSE A,-6.248159,53.34629
WMS2873,Class B,BALLYBOUGH B,-6.252604,53.362174
WMS3978,Class B,TERENURE D,-6.283954,53.307385
WMS3368,Class B,WALKINSTOWN C,-6.316913,53.316642
WMS3752,Class B,RAHENY-St. ASSAM,-6.157231,53.378868
WMS2798,Class B,ASHTOWN A,-6.313572,53.366805
WMS3442,Class B,INCHICORE B,-6.345015,53.330153
WMS0300,Class A,RATHMINES EAST D,-6.253239,53.32446
WMS3473,Class B,CARNA,-6.366114,53.341006
WMS4107,Cast Iron,CLONTARF EAST A,-6.186953,53.377571
WMS0263,Class A,USHERS A,-6.294229,53.342442
WMS0628,Class A,MANSION HOUSE B,-6.259995,53.34179
WMS4503,Cast Iron,USHERS C,-6.286784,53.337171
WMS4358,Cast Iron,SAINT KEVIN'S,-6.257925,53.33521
WMS1664,Dog Bin,WHITEHALL B,-6.249849,53.387865
WMS1036,Class A,NORTH CITY,-6.258406,53.350491
WMS4578,Cast Iron,NORTH DOCK C,-6.240677,53.35021
WMS1265,Bigbelly Bin,PEMBROKE WEST A,-6.2361,53.341154
WMS4441,Cast Iron,PEMBROKE EAST B,-6.215253,53.332557
WMS0402,Class A,NORTH CITY,-6.263294,53.346525
WMS0815,Class A,MANSION HOUSE B,-6.255076,53.342239
WMS3898,Class B,PEMBROKE EAST E,-6.216318,53.320855
WMS0219,Class A,NORTH CITY,-6.259696,53.349171
WMS0831,Class A,MANSION HOUSE B,-6.257058,53.341081
WMS3193,Class B,RATHFARNHAM,-6.270519,53.307779
WMS1172,Bigbelly Bin,RATHMINES WEST A,-6.265424,53.324804
WMS4532,Cast Iron,DRUMFINN,-6.352767,53.342353
WMS3930,Class B,FINGLAS SOUTH C,-6.307771,53.384357
WMS0121,Class A,MOUNTJOY A,-6.25256,53.351567
WMS3937,Class B,FINGLAS NORTH C,-6.297581,53.390099
WMS4500,Cast Iron,USHERS C,-6.285467,53.341614
WMS3005,Class B,CLONTARF EAST D,-6.205074,53.36496
WMS3243,Class B,KIMMAGE D,-6.290787,53.319495
